gw,lc,ld,ang
FALSE,aic,ltr,Ainbai
FALSE,aie,ltr,Amara
FALSE,aif,ltr,Agi
FALSE,aig,ltr,Antigua and Barbuda Creole English
FALSE,aih,ltr,Ai-Cham
FALSE,aii,ltr,Assyrian Neo-Aramaic
FALSE,aij,rtl,Lishanid Noshan
FALSE,aik,ltr,Ake
FALSE,ail,ltr,Aimele
FALSE,aim,ltr,Aimol
FALSE,ain,ltr,Ainu
FALSE,aio,ltr,Aiton
FALSE,aip,ltr,Burumakok
FALSE,aiq,ltr,Aimaq
FALSE,air,ltr,Airoran
FALSE,ais,ltr,"Amis, Nataoran"
FALSE,aiw,ltr,Aari
FALSE,aix,ltr,Aighon
FALSE,aiy,ltr,Ali
FALSE,aja,ltr,Aja
FALSE,ajg,ltr,Aja
FALSE,ajg-x-adjtalagbe,ltr,Adja Talagbe
FALSE,aji,ltr,Ajië
FALSE,ajn,ltr,Andajin
FALSE,ajp,rtl,"Arabic, South Levantine Spoken"
FALSE,ajt,rtl,"Arabic, Judeo-Tunisian"
FALSE,aju,rtl,"Arabic, Judeo-Moroccan"
FALSE,ajz,ltr,Amri Karbi
FALSE,ak,ltr,Akan
FALSE,akb,ltr,Batak Angkola
FALSE,akc,ltr,Mpur
FALSE,akd,ltr,Ukpet-Ehom
FALSE,ake,ltr,Akawaio
FALSE,akf,ltr,Akpa
FALSE,akg,ltr,Anakalangu
FALSE,akh,ltr,Angal Heneng
FALSE,aki,ltr,Aiome
FALSE,akk,ltr,
FALSE,akl,ltr,Inakeanon
FALSE,ako,ltr,Akurio
FALSE,akp,ltr,Siwu
FALSE,akq,ltr,Ak
FALSE,akr,ltr,Araki
FALSE,aks,ltr,Akaselem
FALSE,akt,ltr,Akolet
FALSE,aku,ltr,Akum
FALSE,akv,ltr,Akhvakh
FALSE,akw,ltr,Akwa
FALSE,akz,ltr,Alabama
FALSE,ala,ltr,Alago
FALSE,alc,ltr,Qawasqar
FALSE,ald,ltr,Alladian
FALSE,ale,ltr,Aleut
FALSE,alf,ltr,Alege
FALSE,alh,ltr,Alawa
FALSE,ali,ltr,Amaimon
FALSE,ali-x-sagulam,ltr,Sagulam
FALSE,alj,ltr,Alangan
FALSE,alk,ltr,Alak
FALSE,alk-alakatapue,ltr,Alak Atapue
FALSE,alk-x-alakatapue,ltr,Alak Atapue
FALSE,alk-x-alakxekong,ltr,Alak Xekong
FALSE,all,ltr,Allar
FALSE,alm,ltr,Amblong
FALSE,aln,ltr,"Albanian, Gheg"
FALSE,alo,ltr,Larike-Wakasihu
FALSE,alp,ltr,Alune
FALSE,alq,ltr,Algonquin
FALSE,alr,ltr,Alutor
FALSE,als,ltr,"Albanian, Tosk"
FALSE,alt,ltr,"Altai, Southern"
FALSE,alu,ltr,’Are’are
FALSE,alw,ltr,Alaba-K’abeena
FALSE,alx,ltr,Amol
FALSE,aly,ltr,Alyawarr
FALSE,alz,ltr,Alur
TRUE,am,ltr,Amharic
FALSE,ama,ltr,Amanayé
FALSE,amb,ltr,Ambo
FALSE,amc,ltr,Amahuaca
FALSE,ame,ltr,Yanesha’
FALSE,amf,ltr,Hamer-Banna
FALSE,amg,ltr,Amurdak
FALSE,ami,ltr,Amis
FALSE,amj,ltr,Amdang
FALSE,amk,ltr,Ambai
FALSE,aml,ltr,War-Jaintia
FALSE,amm,ltr,Ama
FALSE,amn,ltr,Amanab
FALSE,amn-x-awaimona,ltr,Awai Mona
FALSE,amo,ltr,Amo
FALSE,amp,ltr,Alamblak
FALSE,amq,ltr,Amahai
FALSE,amr,ltr,Amarakaeri
FALSE,ams,ltr,"Amami-Oshima, Southern"
FALSE,amt,ltr,Amto
FALSE,amu,ltr,"Amuzgo, Guerrero"
FALSE,amv,ltr,Ambelau
FALSE,amw,ltr,Western Neo-Aramaic
FALSE,amx,ltr,Anmatyerre
FALSE,amy,ltr,Ami
FALSE,an,ltr,Aragonese
FALSE,ana,ltr,Andaqui
FALSE,anc,ltr,Ngas
FALSE,and,ltr,Ansus
FALSE,ane,ltr,Xârâcùù
FALSE,anf,ltr,Animere
FALSE,ang,ltr,Old English
FALSE,anh,ltr,Nend
FALSE,ani,ltr,Andi
FALSE,anj,ltr,Anor
FALSE,ank,ltr,Goemai
FALSE,anl,ltr,"Chin, Anu-Hkongso"
FALSE,anl-x-khawngtu,ltr,
FALSE,anm,ltr,Anal
FALSE,ann,ltr,Obolo
FALSE,ano,ltr,Andoque
FALSE,anp,ltr,Angika
FALSE,anq,ltr,Jarawa
FALSE,anr,ltr,Andh
FALSE,ant,ltr,Antakarinya
FALSE,anu,ltr,Anuak
FALSE,anv,ltr,Denya
FALSE,anw,ltr,Anaang
FALSE,anx,ltr,Andra-Hus
FALSE,any,ltr,Anyin
FALSE,any-x-agnibona,ltr,Agni Bona
FALSE,anz,ltr,Anem
FALSE,aoa,ltr,Angolar
FALSE,aob,ltr,Abom
FALSE,aoc,ltr,Pemon
FALSE,aod,ltr,Andarum
FALSE,aoe,ltr,Angal Enen
FALSE,aof,ltr,Bragat
FALSE,aog,ltr,Angoram
FALSE,aoi,ltr,Anindilyakwa
FALSE,aoj,ltr,Mufian
FALSE,aok,ltr,Arhö
FALSE,aol,ltr,Alor
FALSE,aom,ltr,Ömie
FALSE,aon,ltr,"Arapesh, Bumbita"
FALSE,aon-x-woginara,ltr,Woginara
FALSE,aos,ltr,Taikat
FALSE,aot,ltr,Atong
FALSE,aox,ltr,Atorada
FALSE,aoz,ltr,Uab Meto
FALSE,apb,ltr,Sa’a
FALSE,apb-x-ulawa,ltr,
FALSE,apc,rtl,"Arabic, North Levantine Spoken"
FALSE,apc-x-druzearabic,rtl,
FALSE,apd,rtl,"Arabic, Sudanese Spoken"
FALSE,ape,ltr,Bukiyip
FALSE,apf,ltr,"Agta, Pahanan"
FALSE,apg,ltr,Ampanang
FALSE,aph,ltr,Athpariya
FALSE,api,ltr,Apiaká
FALSE,apj,ltr,"Apache, Jicarilla"
FALSE,apk,ltr,"Apache, Kiowa"
FALSE,apl,ltr,"Apache, Lipan"
FALSE,apm,ltr,"Apache, Mescalero-Chiricahua"
FALSE,apn,ltr,Apinayé
FALSE,apo,ltr,Ambul
FALSE,app,ltr,Apma
FALSE,apr,ltr,Arop-Lokep
FALSE,apr-x-bulakarmel,ltr,Bula Karmeleve
FALSE,aps,ltr,Arop-Sissano
FALSE,apt,ltr,Apatani
FALSE,apu,ltr,Apurinã
FALSE,apv,ltr,Alapmunte
FALSE,apw,ltr,"Apache, Western"
FALSE,apx,ltr,Aputai
FALSE,apy,ltr,Apalaí
FALSE,apz,ltr,Safeyoka
FALSE,aqc,ltr,Archi
FALSE,aqd,ltr,"Dogon, Ampari"
FALSE,aqg,ltr,Arigidi
FALSE,aqm,ltr,Atohwaim
FALSE,aqn,ltr,"Alta, Northern"
FALSE,aqp,ltr,Atakapa
FALSE,aqr,ltr,Arhâ
FALSE,aqt,ltr,Angaité
FALSE,aqz,ltr,Akuntsu
TRUE,ar,rtl,Arabic
FALSE,arb,rtl,"Arabic, Standard"
FALSE,arc,rtl,
FALSE,ard,ltr,Arabana
FALSE,are,ltr,"Arrarnta, Western"
FALSE,arh,ltr,Arhuaco
FALSE,ari,ltr,Arikara
FALSE,arj,ltr,Arapaso
FALSE,ark,ltr,Arikapú
FALSE,arl,ltr,Arabela
FALSE,arn,ltr,Mapudungun
FALSE,aro,ltr,Araona
FALSE,arp,ltr,Arapaho
FALSE,arq,rtl,"Arabic, Algerian Spoken"
FALSE,arr,ltr,Karo
FALSE,ars,rtl,"Arabic, Najdi Spoken"
FALSE,aru,ltr,Aruá
FALSE,arv,ltr,Arbore
FALSE,arw,ltr,Arawak
FALSE,arx,ltr,Aruá
TRUE,ar-x-dcv,rtl,Arabic - Dominant Culture Variant
FALSE,ary,rtl,"Arabic, Moroccan Spoken"
FALSE,arz,rtl,"Arabic, Egyptian Spoken"
TRUE,as,ltr,Assamese
FALSE,asa,ltr,Asu
FALSE,asb,ltr,Assiniboine
FALSE,asc,ltr,"Asmat, Casuarina Coast"
FALSE,asd,ltr,Asas
FALSE,asd-x-kou,ltr,
FALSE,ase,ltr,American Sign Language
FALSE,ase-x-beninsl,ltr,Benin Sign Language
FALSE,ase-x-burkinasl,ltr,Burkina Faso Sign Language
FALSE,ase-x-camanglosl,ltr,
FALSE,ase-x-camfrancsl,ltr,
FALSE,ase-x-cotedivosl,ltr,Cote d'Ivoire
FALSE,ase-x-gabonesesl,ltr,
FALSE,ase-x-togolesesl,ltr,Togolese Sign Language
FALSE,ase-x-tongansl,ltr,Tongan Sign Language
FALSE,asf,ltr,Australian Sign Language
FALSE,asg,ltr,Cishingini
FALSE,asi,ltr,Buruwai
FALSE,asj,ltr,Sari
FALSE,ask,ltr,Ashkun
FALSE,asl,ltr,Asilulu
FALSE,asl-x-botswanasl,ltr,
FALSE,asl-x-bukavusl,ltr,Bukavu Sign Language
FALSE,asl-x-drcfrnchsl,ltr,Congolese French Sign Language
FALSE,asl-x-liberiansl,ltr,Liberian Sign Language
FALSE,asl-x-nigersl,ltr,Sign Language of Niger
FALSE,asl-x-senegalsl,ltr,Senegal Sign Language
FALSE,asn,ltr,Asurini of Xingú
FALSE,aso,ltr,Dano
FALSE,asp,ltr,Algerian Sign Language
FALSE,asq,ltr,Austrian Sign Language
FALSE,asr,ltr,Asuri
FALSE,ass,ltr,Ipulo
FALSE,ast,ltr,Asturian
FALSE,asu,ltr,"Asurini, Tocantins"
FALSE,asv,ltr,Asoa
FALSE,asw,ltr,Australian Aborigines Sign Language
FALSE,asx,ltr,Muratayak
FALSE,asy,ltr,"Asmat, Yaosakor"
FALSE,asz,ltr,As
FALSE,ata,ltr,Pele-Ata
FALSE,atb,ltr,Zaiwa
FALSE,atc,ltr,Atsahuaca
FALSE,atd,ltr,"Manobo, Ata"
FALSE,atd-x-paquib,ltr,
FALSE,ate,ltr,Atemble
FALSE,atg,ltr,Ivbie North-Okpela-Arhe
FALSE,ati,ltr,Attié
FALSE,atj,ltr,Atikamekw
FALSE,atk,ltr,Ati
FALSE,atl,ltr,"Agta, Mt. Iraya"
FALSE,atm,ltr,Ata
FALSE,atn,ltr,Ashtiani
FALSE,ato,ltr,Atong
FALSE,atp,ltr,"Atta, Pudtol"
FALSE,atq,ltr,Aralle-Tabulahan
FALSE,atr,ltr,Waimiri-Atroarí
FALSE,ats,ltr,Gros Ventre
FALSE,att,ltr,"Atta, Pamplona"
FALSE,atu,ltr,Reel
FALSE,atv,ltr,"Altai, Northern"
FALSE,atw,ltr,Atsugewi
FALSE,atx,ltr,Arutani
FALSE,aty,ltr,Aneityum
FALSE,atz,ltr,Arta
FALSE,aua,ltr,Asumboa
FALSE,aub,ltr,Alugu
FALSE,auc,ltr,Waorani
FALSE,aud,ltr,Anuta
FALSE,aug,ltr,Aguna
FALSE,auh,ltr,Aushi
FALSE,aui,ltr,Anuki
FALSE,auj,ltr,Awjilah
FALSE,auk,ltr,Heyo
FALSE,aul,ltr,Aulua
FALSE,aum,ltr,Asu
FALSE,aun,ltr,"One, Molmo"
FALSE,auo,ltr,Auyokawa
FALSE,aup,ltr,Makayam
FALSE,auq,ltr,Anus
FALSE,aur,ltr,Aruek
FALSE,aut,ltr,Austral
FALSE,auu,ltr,Auye
FALSE,auw,ltr,Awyi
FALSE,auy,ltr,Awiyaana
FALSE,auy-x-abomatasa,ltr,Abomatasa
FALSE,auy-x-arora,ltr,Arora
FALSE,auy-x-ati,ltr,Ati
FALSE,auy-x-kaiwana,ltr,Kaiwana
FALSE,auy-x-moife,ltr,Moife
FALSE,auy-x-tontona,ltr,Tontona
FALSE,auz,rtl,"Arabic, Uzbeki Spoken"
FALSE,av,ltr,Avaric
FALSE,avb,ltr,Avau
FALSE,avd,ltr,Alviri-Vidari
FALSE,avi,ltr,Avikam
FALSE,avk,ltr,
FALSE,avl,rtl,"Arabic, Eastern Egyptian Bedawi Spoken"
FALSE,avn,ltr,Avatime
FALSE,avt,ltr,Au
FALSE,avu,ltr,Avokaya
FALSE,avv,ltr,Avá-Canoeiro
FALSE,awa,ltr,Awadhi
FALSE,awb,ltr,Awa
FALSE,awc,ltr,Cicipu
FALSE,awe,ltr,Awetí
FALSE,awh,ltr,Awbono
FALSE,awi,ltr,Aekyom
FALSE,awk,ltr,Awabakal
FALSE,awm,ltr,Arawum
FALSE,awn,ltr,Awngi
FALSE,awo,ltr,Awak
FALSE,awr,ltr,Awera
FALSE,aws,ltr,"Awyu, South"
FALSE,awt,ltr,Araweté
FALSE,awu,ltr,"Awyu, Central"
FALSE,awv,ltr,"Awyu, Jair"
FALSE,aww,ltr,Awun
FALSE,awx,ltr,Awara
FALSE,awy,ltr,"Awyu, Edera"
FALSE,axg,ltr,"Arára, Mato Grosso"
FALSE,axk,ltr,Yaka
FALSE,axm,ltr,Middle Armenian
FALSE,axx,ltr,Xârâgurè
FALSE,ay,ltr,Aymara
FALSE,aya,ltr,Awar
FALSE,ayb,ltr,"Gbe, Ayizo"
FALSE,ayc,ltr,"Aymara, Southern"
FALSE,aye,ltr,Ayere
FALSE,ayg,ltr,Ginyanga
FALSE,ayg-x-anyagan,ltr,
FALSE,ayh,rtl,"Arabic, Hadrami Spoken"
FALSE,ayi,ltr,Leyigha
FALSE,ayk,ltr,Akuku
FALSE,ayl,rtl,"Arabic, Libyan Spoken"
FALSE,ayn,rtl,"Arabic, Sanaani Spoken"
FALSE,ayo,ltr,Ayoreo
FALSE,ayp,rtl,"Arabic, North Mesopotamian Spoken"
FALSE,ayq,ltr,Ayi
FALSE,ayr,ltr,"Aymara, Central"
FALSE,ays,ltr,"Ayta, Sorsogon"
FALSE,ayt,ltr,"Ayta, Magbukun"
FALSE,ayu,ltr,Ayu
FALSE,ayz,ltr,Mai Brat
FALSE,az,ltr,Azerbaijani
FALSE,aza,ltr,Azha
FALSE,azb,ltr,"Azerbaijani, South"
FALSE,azb-x-afshari,ltr,
FALSE,azd,ltr,"Nahuatl, Eastern Durango"
FALSE,azg,ltr,"Amuzgo, San Pedro Amuzgos"
FALSE,azj,ltr,"Azerbaijani, North"
FALSE,azm,ltr,"Amuzgo, Ipalapa"
FALSE,azn,ltr,"Nahuatl, Western Durango"
FALSE,azo,ltr,Awing
FALSE,azt,ltr,"Atta, Faire"
FALSE,azz,ltr,"Nahuatl, Highland Puebla"
FALSE,ba,ltr,Bashkir
FALSE,baa,ltr,Babatana
FALSE,bab,ltr,Bainouk-Gunyuño
FALSE,bac,ltr,Badui
FALSE,bae,ltr,Baré
FALSE,baf,ltr,Nubaca
FALSE,bag,ltr,Tuki
FALSE,bah,ltr,Bahamas Creole English
FALSE,baj,ltr,Barakai
FALSE,bal,ltr,Balochi
FALSE,bam-x-mali,ltr,
FALSE,ban,ltr,Bali
FALSE,bao,ltr,Waimaha
FALSE,bap,ltr,Bantawa
FALSE,bar,ltr,Bavarian
FALSE,bas,ltr,Basaa
FALSE,bau,ltr,Mbat
FALSE,bav,ltr,Vengo
FALSE,baw,ltr,Bambili-Bambui
FALSE,bax,ltr,Bamun
FALSE,bay,ltr,Batuley
FALSE,bba,ltr,Baatonum
FALSE,bbb,ltr,Barai
FALSE,bbc,ltr,Batak Toba
FALSE,bbc-x-asahan,ltr,Asahan
FALSE,bbd,ltr,Bau
FALSE,bbe,ltr,Bangba
FALSE,bbf,ltr,Baibai
FALSE,bbg,ltr,Barama
FALSE,bbh,ltr,Bugan
FALSE,bbi,ltr,Barombi
FALSE,bbj,ltr,Ghomálá’
FALSE,bbj-x-baleng,ltr,Negha Pelongtam
FALSE,bbk,ltr,Babanki
FALSE,bbl,ltr,Bats
FALSE,bbm,ltr,Babango
FALSE,bbn,ltr,Uneapa
FALSE,bbo,ltr,Konabéré
FALSE,bbp,ltr,"Banda, West Central"
FALSE,bbq,ltr,Bamali
FALSE,bbr,ltr,Girawa
FALSE,bbr-x-paisop,ltr,Paisop
FALSE,bbr-x-yagi,ltr,Yagi
FALSE,bbs,ltr,Bakpinka
FALSE,bbt,ltr,Mburku
FALSE,bbu,ltr,Kulung
FALSE,bbv,ltr,Karnai
FALSE,bbw,ltr,Baba
FALSE,bbx,ltr,Bubia
FALSE,bby,ltr,Befang
FALSE,bbz,rtl,"Arabic, Babalia Creole"
FALSE,bca,ltr,"Bai, Central"
FALSE,bca-x-bei,ltr,Bei
FALSE,bcb,ltr,Bainouk-Samik
FALSE,bcc,ltr,"Balochi, Southern"
FALSE,bcc-x-makrani,ltr,Makrani Balochi
FALSE,bcd,ltr,"Babar, North"
FALSE,bce,ltr,Bamenyam
FALSE,bcf,ltr,Bamu
FALSE,bcg,ltr,Baga Pokur
FALSE,bch,ltr,Bariai
FALSE,bci,ltr,Baoulé
FALSE,bcj,ltr,Bardi
FALSE,bck,ltr,Bunaba
FALSE,bcl,ltr,"Bikol, Central"
FALSE,bcm,ltr,Bannoni
FALSE,bcn,ltr,Bali
FALSE,bco,ltr,Kaluli
FALSE,bcp,ltr,Bali
FALSE,bcq,ltr,Bench
FALSE,bcr,ltr,Babine
FALSE,bcs,ltr,Kohumono
FALSE,bct,ltr,Bendi
FALSE,bcu,ltr,Awad Bing
FALSE,bcu-x-biliau,ltr,Biliau
FALSE,bcu-x-galeg,ltr,Galeg
FALSE,bcu-x-swit,ltr,Swit
FALSE,bcu-x-yamai,ltr,Yamai
FALSE,bcv,ltr,Shoo-Minda-Nye
FALSE,bcv-x-bandawa,ltr,Bandawa
FALSE,bcw,ltr,Bana
FALSE,bcy,ltr,Bacama
FALSE,bcz,ltr,Bainouk-Gunyaamolo
FALSE,bda,ltr,Bayot
FALSE,bda-x-aramme,ltr,
FALSE,bda-x-elia,ltr,
FALSE,bdb,ltr,Basap
FALSE,bdb-x-menaburkecil,ltr,
FALSE,bdc,ltr,Emberá-Baudó
FALSE,bdd,ltr,Bunama
FALSE,bde,ltr,Bade
FALSE,bdf,ltr,Biage
FALSE,bdg,ltr,Bonggi
FALSE,bdh,ltr,Baka
FALSE,bdi,ltr,Burun
FALSE,bdj,ltr,Bai
FALSE,bdk,ltr,Budukh
FALSE,bdl,ltr,"Bajau, Indonesian"
FALSE,bdm,ltr,Buduma
FALSE,bdn,ltr,Baldemu
FALSE,bdo,ltr,Morom
FALSE,bdp,ltr,Bende
FALSE,bdq,ltr,Bahnar
FALSE,bdr,ltr,"Bajau, West Coast"
FALSE,bdr-x-bajausama,ltr,Bajau Sama
FALSE,bds,ltr,Burunge
FALSE,bdt,ltr,Bhogoto
FALSE,bdu,ltr,Oroko
FALSE,bdv,ltr,Bodo Parja
FALSE,bdw,ltr,Baham
FALSE,bdx,ltr,Budong-Budong
FALSE,bdy,ltr,Bandjalang
FALSE,bdz,ltr,Badeshi
FALSE,be,ltr,Belarusian
FALSE,bea,ltr,Beaver
FALSE,beb,ltr,Bebele
FALSE,bec,ltr,Iceve-Maci
FALSE,bed,ltr,Bedoanas
FALSE,bee,ltr,Byangsi
FALSE,bef,ltr,Benabena
FALSE,beg,ltr,Belait
FALSE,beh,ltr,Biali
FALSE,bei,ltr,Bakati’
FALSE,bei-x-bakatikamayo,ltr,
FALSE,bei-x-dayakdsa,ltr,Dayak Dsa
FALSE,bei-x-dayaklaya,ltr,
FALSE,bej,ltr,Bedawiyet
FALSE,bek,ltr,Bebeli
FALSE,bek-x-morokea,ltr,Morokea
FALSE,bek-x-mosa,ltr,Mosa
FALSE,bem,ltr,Bemba
FALSE,bem-x-ichishinga,ltr,Ichishinga
FALSE,bem-x-kabenmushi,ltr,Kabende Mushi
FALSE,bem-x-ngumbo,ltr,Ngumbo
FALSE,beo,ltr,Beami
FALSE,bep,ltr,Behoa
FALSE,beq,ltr,Beembe
FALSE,bes,ltr,Besme
FALSE,bet,ltr,"Bété, Guiberoua"
FALSE,beu,ltr,Blagar
FALSE,bev,ltr,"Bété, Daloa"
FALSE,bew,ltr,Betawi
FALSE,bex,ltr,Jur Modo
FALSE,bey,ltr,Beli
FALSE,bez,ltr,Bena
FALSE,bfa,ltr,Bari
FALSE,bfb,ltr,"Bareli, Pauri"
FALSE,bfb-x-pauribarel,ltr,Pauri Bareli
FALSE,bfc,ltr,"Bai, Panyi"
FALSE,bfc-x-lama,ltr,
FALSE,bfd,ltr,Bafut
FALSE,bfe,ltr,Betaf
FALSE,bff,ltr,Bofi
FALSE,bfg,ltr,"Kayan, Busang"
FALSE,bfh,ltr,Blafe
